[object Uint8Array]Source page: http://www.36kr.com/search?q=%E6%8B%9B%E8%81%98,
link,link/_text,link/_title,value,value_dates
"http://www.36kr.com/p/220655.html","继续挖掘大数据的金矿，LinkedIn确认收购招聘推荐软件Careerify","","2015/03/17-09:29","1426550400000"
"http://www.36kr.com/p/220638.html","【氪TV视频】互联网招聘不还是简历面试那套，Owiwi要用严肃游戏呈现完整的你","","2015/03/16-18:13","1426464000000"
"http://www.36kr.com/p/220339.html","互联网招聘市场的本质其实是电商，但是拉勾们不会成为“阿里巴巴”","","2015/03/10-22:19","1425945600000"
"http://www.36kr.com/p/220374.html","看似编程游戏，实为另类招聘：把Starfighter玩通关，就能被顶级科技公司录用","","2015/03/10-16:37","1425945600000"
"http://www.36kr.com/p/220359.html","100offer获2000万人民币A轮融资，从程序员拍卖到常态化的招聘网站","","2015/03/10-09:48","1425945600000"
"http://www.36kr.com/p/220326.html","不提升服务品质，85后的求职者会抛弃招聘行业","","2015/03/09-15:08","1425859200000"
"http://www.36kr.com/p/219958.html","36氪每日投融资笔记（2月23日）：在线招聘、儿童游乐、同城快递、美食社交、游戏视频","","2015/02/23-21:10","1424649600000"
"http://www.36kr.com/p/219918.html","微信投资”小微招聘“平台M4JAM，通过众包连接非洲大陆的企业和人","","2015/02/21-22:25","1424476800000"
"http://www.36kr.com/p/219614.html","【独家】“哪上班”获2500万人民币A轮融资，互联网招聘今年继续摸索","","2015/02/11-18:52","1423612800000"
"http://www.36kr.com/p/219706.html","36氪每日投融资笔记（2月11日）：汽车服务、互联网招聘、企业数据管理、化妆品点评、餐饮外卖","","2015/02/11-23:11","1423612800000"
"http://www.36kr.com/p/219534.html","LinkedIn发布2014年Q4财报，收入仍依靠招聘，数据是下一座金矿","","2015/02/06-09:03","1423180800000"
"http://www.36kr.com/p/219489.html","Fred Wilson：移动工程师应该招聘还是培养？","","2015/02/04-23:11","1423008000000"
"http://www.36kr.com/p/219175.html","在兼职招聘这件事上，除了去中介化，“探鹿”还要给学生“安全感”","","2015/02/03-15:50","1422921600000"
"http://www.36kr.com/p/219265.html","【见人笔记】互联网蓝领招聘那些事","","2015/02/01-18:32","1422748800000"
"http://www.36kr.com/p/219024.html","专访e成招聘CEO周友鸿：招聘 3.0 时代，怎样用机器学习改变企业HR?","","2015/01/26-09:50","1422230400000"
