[object Uint8Array]Source page: https://muru-d.com/whos-involved/our-mentors/,
image_1,image_1/_alt,social_links_link,social_links_link/_text,social_links_link/_title,name_text,summary_text
"https://muru-d.com/media/people/photos/matt_barrie.png.405x405_q85_border_width-15_circular.png","Matt Barrie","http://au.linkedin.com/in/mattbarrie","LinkedIn","","Matt Barrie","Founder and CEO of Freelancer.com"
"https://muru-d.com/media/people/photos/pete_c.png.405x405_q85_border_width-15_circular.png","Pete Cooper","http://au.linkedin.com/in/petecooper","LinkedIn","","Pete Cooper","Founder of Sydstart. Director of Innovation & Growth at UTS. Co-founder of Fishburners."
"https://muru-d.com/media/people/photos/bill_b.png.405x405_q85_border_width-15_circular.png","Bill Bartee","http://www.linkedin.com/profile/view?id=125779","LinkedIn","","Bill Bartee","Managing Director of Blackbird Ventures. Co-founding Partner of Southern Cross Ventures."
"https://muru-d.com/media/people/photos/0X2A1827.JPG.405x405_q85_border_width-15_circular.png","Terry Hilsberg","http://www.linkedin.com/pub/terry-hilsberg/14/8b9/a89","LinkedIn","","Terry Hilsberg","SydEdTech"
"https://muru-d.com/media/people/photos/Andrey_s.png.405x405_q85_border_width-15_circular.png","Andrey Shirben","http://au.linkedin.com/in/ashirben","LinkedIn","","Andrey Shirben","Founder of SYD Ventures."
"https://muru-d.com/media/people/photos/AC.jpg.405x405_q85_border_width-15_circular.png","Andrew Coppin","http://au.linkedin.com/in/coppo888","LinkedIn","","Andrew Coppin","Corporate Adviser & Turnaround CEO."
"https://muru-d.com/media/people/photos/phil_m.png.405x405_q85_border_width-15_circular.png","Phil Morle","http://au.linkedin.com/in/pmorle","LinkedIn","","Phil Morle","Co-founder of Pollenizer."
"https://muru-d.com/media/people/photos/dale_c2_1_1.png.405x405_q85_border_width-15_circular.png","Dale Cohen","http://au.linkedin.com/in/dalecohen","LinkedIn","","Dale Cohen","General Manager NSW at BizTech Enterprise Solutions"
"https://muru-d.com/media/people/photos/stuart_f.png.405x405_q85_border_width-15_circular.png","Stuart Fox","http://au.linkedin.com/pub/stuart-fox/27/754/201","LinkedIn","","Stuart Fox","Managing Partner at Artesian Venture Partners."
"https://muru-d.com/media/people/photos/dd51b21e-baa3-11e1-b25c-031f3a1dd2f3_20110510_Mack_Photo_EOY_013_small--236x197_1.jpg.405x405_q85_border_width-15_circular.png","Melissa Widner","http://www.linkedin.com/pub/melissa-widner/0/144/777","LinkedIn","","Melissa Widner","General Partner of Seapoint Ventures. Co-founder of Heads Over Heels."
"https://muru-d.com/media/people/photos/ben_r_1_2_1.png.405x405_q85_border_width-15_circular.png","Ben Reid","https://twitter.com/benmreid; http://au.linkedin.com/pub/ben-reid/0/296/bb3","@benmreid; LinkedIn","","Ben Reid","Operations and strategy in tech and media businesses."
"https://muru-d.com/media/people/photos/CGLI2.jpg.405x405_q85_border_width-15_circular.png","Chris Gabriel","https://www.linkedin.com/in/cfobtc","LinkedIn","","Chris Gabriel","Chairman of Alive. Senior Advisor of Macquarie Group. Angel Investor."
"https://muru-d.com/media/people/photos/phaedon-stough.jpg.405x405_q85_border_width-15_circular.png","Phaedon Stough","http://www.linkedin.com/in/phaedonstough","LinkedIn","","Phaedon Stough","Co-founder of Mitchellake."
"https://muru-d.com/media/people/photos/jason_s2.png.405x405_q85_border_width-15_circular.png","Jason Seed","http://www.linkedin.com/in/jasonseed","LinkedIn","","Jason Seed","Turnaround CEO, Lake Republic (USA)."
"https://muru-d.com/media/people/photos/davidkowalkski.jpg.405x405_q85_border_width-15_circular.png","David Kowalski","http://au.linkedin.com/pub/david-kowalski/8/211/105","LinkedIn","","David Kowalski","Co-founder of Green Lane Digital."
"https://muru-d.com/media/people/photos/Screen_Shot_2014-08-12_at_11.50.54_am.png.405x405_q85_border_width-15_circular.png","Topaz Conway","http://www.linkedin.com/pub/topaz-conway/7/587/b33","LinkedIn","","Topaz Conway","Case Manager for Commercialisation Australia, Chairman of Paftec, Acting Chair of Springboard Enterprises."
"https://muru-d.com/media/people/photos/richard_h.png.405x405_q85_border_width-15_circular.png","Richard Horton","http://www.linkedin.com/pub/richard-horton/0/795/7ab","LinkedIn","","Richard Horton","Partner at Squire Sanders."
"https://muru-d.com/media/people/photos/alan_j.png.405x405_q85_border_width-15_circular.png","Alan Jones","http://au.linkedin.com/in/alanjones","LinkedIn","","Alan Jones","Chief Growth Hacker at Blue Chilli Technology. Limited Partner at Blackbird Ventures."
"https://muru-d.com/media/people/photos/Laura.jpg.405x405_q85_border_width-15_circular.png","Laura McKenzie","http://au.linkedin.com/pub/laura-mckenzie/8/6b9/500","LinkedIn","","Laura McKenzie","CEO of Scale. Former Starfish Ventures & PWC. Passionate about connecting female entrepreneurs."
"https://muru-d.com/media/people/photos/Screen_Shot_2014-08-12_at_11.57.56_am.png.405x405_q85_border_width-15_circular.png","Shaun Clowes","http://au.linkedin.com/pub/shaun-clowes/14/950/807","LinkedIn","","Shaun Clowes","Director of Product Growth & Analytics at Atlassian."
"https://muru-d.com/media/people/photos/steve_f_2.png.405x405_q85_border_width-15_circular.png","Steve Fanale","http://au.linkedin.com/in/fanale","LinkedIn","","Steve Fanale","Founder of Appvillage."
"https://muru-d.com/media/people/photos/anthony_f_1.png.405x405_q85_border_width-15_circular.png","Anthony Farah","http://au.linkedin.com/in/anthonyfarah","LinkedIn","","Anthony Farah","CEO at Vivant."
"https://muru-d.com/media/people/photos/matthew_h2.png.405x405_q85_border_width-15_circular.png","Matthew Ho","http://au.linkedin.com/in/matthewho1","LinkedIn","","Matthew Ho","Co-founder of Native Tongue Apps. Guest writer for Tech in Asia."
"https://muru-d.com/media/people/photos/charles_h.png.405x405_q85_border_width-15_circular.png","Charles Heunemann","http://au.linkedin.com/in/heunemann","LinkedIn","","Charles Heunemann","Managing Director VP Asia Pacific at Natterbox."
"https://muru-d.com/media/people/photos/clive_d_1.PNG.405x405_q85_border_width-15_circular.png","Clive Dickens","http://au.linkedin.com/in/clivedickens","LinkedIn","","Clive Dickens","Director of Digital & Innovation at Southern Cross Austereo."
"https://muru-d.com/media/people/photos/joanne_j.png.405x405_q85_border_width-15_circular.png","Joanne Jacobs","http://au.linkedin.com/in/joannejacobs","LinkedIn","","Joanne Jacobs","Former COO at 1000heads."
"https://muru-d.com/media/people/photos/daniel_j.png.405x405_q85_border_width-15_circular.png","Daniel Jarosch","http://au.linkedin.com/in/danieljarosch","LinkedIn","","Daniel Jarosch","Founding Managing Director of brandsExclusive. Co-founder Spreets and styleTread."
"https://muru-d.com/media/people/photos/david_k.png.405x405_q85_border_width-15_circular.png","David Kenney","http://au.linkedin.com/pub/dir/David/Kenney","LinkedIn","","David Kenney","Partner at Hall Chadwick Chartered Accountants. Australian and International taxation structuring guru."
"https://muru-d.com/media/people/photos/benjamin_h.png.405x405_q85_border_width-15_circular.png","Benjamin Hickey","","","","Benjamin Hickey","Director at Brocade, Former Senior Associate at Strategy& (Booz & Company)."
"https://muru-d.com/media/people/photos/judi_h.png.405x405_q85_border_width-15_circular.png","Judi Hausmann","http://au.linkedin.com/pub/judi-hausmann/7/103/74b","LinkedIn","","Judi Hausmann","Founder of Hausmann Communications."
"https://muru-d.com/media/people/photos/ben_yi.png.405x405_q85_border_width-15_circular.png","Ben Yi","http://www.linkedin.com/pub/ben-yi/1/549/b9b","LinkedIn","","Ben Yi","General Manager, Pricing & Strategic Analytics, Telstra. Former Project Leader at Boston Consulting Group."
"https://muru-d.com/media/people/photos/eitan.jpg.405x405_q85_border_width-15_circular.png","Eitan Bienstock","http://au.linkedin.com/in/eitanbienstock/","LinkedIn","","Eitan Bienstock","Managing Director, Artesian Capital. Angel Investor, ex Intel capital"
"https://muru-d.com/media/people/photos/mike_m.png.405x405_q85_border_width-15_circular.png","Nick Muldoon","http://www.linkedin.com/in/nmuldoon","LinkedIn","","Nick Muldoon","Agile Coach at Twitter."
"https://muru-d.com/media/people/photos/jon_m.png.405x405_q85_border_width-15_circular.png","Jon Manning","http://au.linkedin.com/in/jonmannning","LinkedIn","","Jon Manning","General Manager at Open Haus."
"https://muru-d.com/media/people/photos/gavin_h.png.405x405_q85_border_width-15_circular.png","Gavin Heaton","http://au.linkedin.com/in/servantofchaos","LinkedIn","","Gavin Heaton","General Manager at AskU."
"https://muru-d.com/media/people/photos/kuba_t.png.405x405_q85_border_width-15_circular.png","Kuba Tymula","http://au.linkedin.com/in/tymula","LinkedIn","","Kuba Tymula","Founder and CEO of tiekili. Former Engagement Manager at McKinsey & Company."
"https://muru-d.com/media/people/photos/micheal_m.png.405x405_q85_border_width-15_circular.png","Michael McKeon","http://au.linkedin.com/pub/michael-mckeon/11/b4a/107","LinkedIn","","Michael McKeon","Director at Vivant Ventures."
"https://muru-d.com/media/people/photos/mike_b.png.405x405_q85_border_width-15_circular.png","Mike Boorn Plener","http://au.linkedin.com/in/mikeboorn","LinkedIn","","Mike Boorn Plener","Executive Producer & CEO, Business Connector."
"https://muru-d.com/media/people/photos/rob_c.png.405x405_q85_border_width-15_circular.png","Robert Castaneda","http://www.linkedin.com/in/robertcastaneda","LinkedIn","","Robert Castaneda","Founder and CEO at ServiceRocket."
"https://muru-d.com/media/people/photos/Screen_Shot_2014-08-12_at_12.02.23_pm.png.405x405_q85_border_width-15_circular.png","Campbell Sallank","http://au.linkedin.com/pub/campbell-sallabank/1/370/893","LinkedIn","","Campbell Sallank","Managing Director of XSallarate. Executive Director of Crisp Hill Investments. Ex-CEO of LinkMe and Hotkey."
"https://muru-d.com/media/people/photos/IMG_3046.JPG.405x405_q85_border_width-15_circular.png","David Anstee","http://au.linkedin.com/pub/david-anstee/8/7ab/667/","LinkedIn","","David Anstee","Partner anstee.dalton. Former AMEX, founded 2 media agencies. Passionate about the creative planning process to frame great innovation."
"https://muru-d.com/media/people/photos/profile-pic-sml.png.405x405_q85_border_width-15_circular.png","Simon Litchfield","http://au.linkedin.com/in/litchfieldsimon","LinkedIn","","Simon Litchfield","Partner at Piran Digital. Former Co-founder Totaltravel.com"
"https://muru-d.com/media/people/photos/andrew.png.405x405_q85_border_width-15_circular.png","Andrew Spaulding","http://www.linkedin.com/in/aspaulding/","LinkedIn","","Andrew Spaulding","Director of Sales Engineering at Ooyala. Former Flash Platform evangelist at Adobe."
"https://muru-d.com/media/people/photos/Deeps_Profile.jpg.405x405_q85_border_width-15_circular.png","Deeps De Silva","https://www.linkedin.com/profile/view?id=92434547","LinkedIn","","Deeps De Silva","Head of Product Marketing Asia Pacific at Salesforce"
"https://muru-d.com/media/people/photos/Optus_Profile_Photo_-_Smaller.JPG.405x405_q85_border_width-15_circular.png","Humphrey Laubscher","http://au.linkedin.com/in/humphreylaubscher/","LinkedIn","","Humphrey Laubscher","GM Innovation @LoudClear, former Corp VC @OptusInnov8 and Lean Product Manager @Pollenizer"
"https://muru-d.com/media/people/photos/RBramanathan_Head_Shot.jpg.405x405_q85_border_width-15_circular.png","Reuben Bramanathan","http://au.linkedin.com/in/rbramanathan","LinkedIn","","Reuben Bramanathan","Startup and small business tax and legal expert"
"https://muru-d.com/media/people/photos/head_shot_large_bw.jpg.405x405_q85_border_width-15_circular.png","Brendan Yell","https://twitter.com/brendanyell","LinkedIn","","Brendan Yell","Former CompuServe, founded ShopFree.com in '99, RecipeLover in '08."
"https://muru-d.com/media/people/photos/picture_new.jpeg.405x405_q85_border_width-15_circular.png","Chris Clark","http://www.linkedin.com/in/chrisclarkfusesport/","LinkedIn","","Chris Clark","Founder/CEO, fusesport. Passionate about high-growth companies, sports, tech and social enterprise."
"https://muru-d.com/media/people/photos/JustinAngsuwat805.jpg.405x405_q85_border_width-15_circular.png","Justin Angsuwat","http://www.linkedin.com/in/justinangsuwat","LinkedIn","","Justin Angsuwat","Lead HR Business Partner at Google. Former Manager at PwC consulting, and Chief of Staff at Telstra."
